injectionId,authorId,split,component,collisionState,centerLabel,labelMultiplicity,labelAreaPixels,offsetIndex,drawIndex,referenceX,referenceY,raDeg,decDeg,offsetRadiusPixels,offsetRadiusArcsec,topologyRule,segmentedFraction5x5,sameLabelFraction5x5,inputF090WVegaMag,inputF150WVegaMag,inputF090WMinusF150WMag
I-54441-03-01,54441,validation,spiral,large-collision,2245,11,1321113.0,3,1,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-03-02,54441,validation,spiral,large-collision,2245,11,1321113.0,3,2,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-03-03,54441,validation,spiral,large-collision,2245,11,1321113.0,3,3,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-03-04,54441,validation,spiral,large-collision,2245,11,1321113.0,3,4,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-03-05,54441,validation,spiral,large-collision,2245,11,1321113.0,3,5,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-03-06,54441,validation,spiral,large-collision,2245,11,1321113.0,3,6,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-03-07,54441,validation,spiral,large-collision,2245,11,1321113.0,3,7,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-03-08,54441,validation,spiral,large-collision,2245,11,1321113.0,3,8,8296.547557031636,1968.6005964804763,163.35424537471715,16.783368800579275,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-04-01,54441,validation,spiral,large-collision,2245,11,1321113.0,4,1,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-04-02,54441,validation,spiral,large-collision,2245,11,1321113.0,4,2,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-04-03,54441,validation,spiral,large-collision,2245,11,1321113.0,4,3,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-04-04,54441,validation,spiral,large-collision,2245,11,1321113.0,4,4,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-04-05,54441,validation,spiral,large-collision,2245,11,1321113.0,4,5,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-04-06,54441,validation,spiral,large-collision,2245,11,1321113.0,4,6,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-04-07,54441,validation,spiral,large-collision,2245,11,1321113.0,4,7,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-04-08,54441,validation,spiral,large-collision,2245,11,1321113.0,4,8,8295.567157391162,1959.354053883076,163.3541654759507,16.78339434365831,4.0,0.12489804560762081,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-05-01,54441,validation,spiral,large-collision,2245,11,1321113.0,5,1,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-05-02,54441,validation,spiral,large-collision,2245,11,1321113.0,5,2,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-05-03,54441,validation,spiral,large-collision,2245,11,1321113.0,5,3,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-05-04,54441,validation,spiral,large-collision,2245,11,1321113.0,5,4,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-05-05,54441,validation,spiral,large-collision,2245,11,1321113.0,5,5,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-05-06,54441,validation,spiral,large-collision,2245,11,1321113.0,5,6,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-05-07,54441,validation,spiral,large-collision,2245,11,1321113.0,5,7,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-05-08,54441,validation,spiral,large-collision,2245,11,1321113.0,5,8,8286.631335163638,1956.7829034443298,163.3541106914341,16.783333082824306,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-06-01,54441,validation,spiral,large-collision,2245,11,1321113.0,6,1,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-06-02,54441,validation,spiral,large-collision,2245,11,1321113.0,6,2,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-06-03,54441,validation,spiral,large-collision,2245,11,1321113.0,6,3,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-06-04,54441,validation,spiral,large-collision,2245,11,1321113.0,6,4,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-06-05,54441,validation,spiral,large-collision,2245,11,1321113.0,6,5,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-06-06,54441,validation,spiral,large-collision,2245,11,1321113.0,6,6,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-06-07,54441,validation,spiral,large-collision,2245,11,1321113.0,6,7,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-06-08,54441,validation,spiral,large-collision,2245,11,1321113.0,6,8,8289.43880184621,1949.0694521280914,163.35405766854873,16.783382999034156,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-07-01,54441,validation,spiral,large-collision,2245,11,1321113.0,7,1,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-07-02,54441,validation,spiral,large-collision,2245,11,1321113.0,7,2,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-07-03,54441,validation,spiral,large-collision,2245,11,1321113.0,7,3,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-07-04,54441,validation,spiral,large-collision,2245,11,1321113.0,7,4,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-07-05,54441,validation,spiral,large-collision,2245,11,1321113.0,7,5,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
