authorId,host,component,split,band,raDeg,decDeg,shiftedRaDeg,shiftedDecDeg,mosaicX,mosaicY,edgeDistancePixels,validCoverage,centerContributionCount,centerSegmentationLabel,nearestCatalogLabel,nearestCatalogDistanceArcsec,secondCatalogDistanceArcsec,catalogMatchedAt0_3Arcsec,catalogSourcesWithin1Arcsec,centerLabelEqualsNearestCatalogLabel,centerScienceMJySr,centerErrorMJySr,centerWeight,referenceFluxJy,referenceCombinedErrorJy,referenceSignalToNoise,referenceVegaMag,referenceBackgroundMJySr,referenceBackgroundRobustSigmaMJySr,referenceApertureSegmentedFraction,referenceTargetLabelFraction,sensitivityFluxJy,sensitivityCombinedErrorJy,sensitivitySignalToNoise,sensitivityVegaMag,sensitivityBackgroundMJySr
3051006,N3447A,tidal,development,F090W,163.37225,16.78334,163.37225580273162,16.78331777777778,9116.225828121876,3780.0568563725838,608.9431436274162,True,4,5745,5968,0.8413931871041449,0.9450640632086266,False,3,False,0.6317999958992004,0.02933705598115921,1779.7623291015625,1.750387729374333e-07,4.399892021836869e-09,39.78251558645251,25.308154101885886,0.41983431577682495,0.013960049736499785,1.0,1.0,6.190643829630963e-08,4.195722874341272e-09,14.75465376297736,26.436650206825778,0.46485547721385956
7553,N3447Spiral,spiral,validation,F090W,163.35037,16.79682,163.35037580314355,16.79679777777778,9527.961336302726,937.7734092288122,362.0386636972744,True,4,559,559,0.24123489763954778,1.274684451950991,True,1,True,0.5749211311340332,0.026584425941109657,1713.8236083984375,6.586454205054469e-08,3.98676076866296e-09,16.52081623965455,26.369360560869108,0.3744695782661438,0.018884812903404234,0.4934338243690762,0.4934338243690762,5.0268011267049276e-08,3.1497470148562338e-09,15.95938055658216,26.66276049290367,0.3751949071884155
51737,N3447,other,validation,F090W,163.33443,16.76831,163.33443580227276,16.76828777777778,5807.171915938922,700.7133775653745,700.7133775653745,True,4,0,272,0.5937940800788306,1.4431421370774664,False,1,False,0.6620662808418274,0.026516268029808998,1683.1781005859375,8.954119864256873e-08,4.1218276191183195e-09,21.723664091930672,26.03593249286701,0.39433450996875763,0.020712743175029753,0.0,0.0,5.1468721011239224e-08,3.2166059906676512e-09,16.000940482162125,26.637131311677336,0.393334299325943
89582,N3447A,tidal,development,F090W,163.3698,16.78836,163.36980580288497,16.78833777777778,9530.5525659807,3293.795418965011,359.4474340192992,True,4,5447,5447,0.08352548997653024,0.4701614726214326,True,5,True,0.7190977334976196,0.029934527352452278,1770.8798828125,3.6691703702896737e-07,5.228074850816415e-09,70.18205505831074,24.504570057820914,0.39133861660957336,0.021885411036014556,0.9566681890842658,0.9566681890842658,1.9587077125840372e-07,4.233514446545158e-09,46.266706711783605,25.18606566878162,0.3963868021965027
116352,N3447A,tidal,development,F090W,163.37275,16.78484,163.37275580277742,16.78481777777778,9296.474442606508,3758.48955902495,593.5255573934919,True,4,5913,5913,0.07388696733514563,0.2759309010368831,True,10,True,1.198190450668335,0.03635699674487114,1779.2874755859375,1.048256420801418e-07,4.51398979875809e-09,23.22239232994765,25.864820924199496,0.40357714891433716,0.021316419687867162,0.9704152150322691,0.9704152150322691,9.868100161815304e-08,3.486142812073707e-09,28.306643456024496,25.93040587989371,0.4039236903190613
118434,N3447A,tidal,development,F090W,163.37143,16.78337,163.37143580273255,16.78334777777778,9081.804598536317,3696.2718283741997,692.7281716258003,True,4,5838,5838,0.07706451027673007,0.6176695973771863,True,6,True,0.9177957773208618,0.032673291862010956,1778.3760986328125,1.3932343803988166e-07,4.748105204504514e-09,29.3429551450768,25.555929295121384,0.39062613248825073,0.023410321104526517,0.9614089170520066,0.9614089170520066,1.1793251936128022e-07,3.800686683349191e-09,31.0292663370392,25.73690581138916,0.3900906890630722
1055,N3447Spiral,spiral,validation,F150W,163.34825,16.79841,163.3482558031922,16.79838777777778,9597.722691386129,648.5169790347704,292.27730861387136,True,4,0,2734,0.24951191031212636,0.5360483062512793,True,6,False,0.8219566941261292,0.02348925732076168,2130.864990234375,9.067036171155898e-08,3.951657295719369e-09,22.944894996278553,25.301828951617907,0.39275550842285156,0.017166041484475134,0.0,0.0,9.168606881034493e-08,3.1159732309574012e-09,29.424536738453895,25.289733942169892,0.39582376182079315
2067,N3447Spiral,spiral,validation,F150W,163.34715,16.79693,163.3471558031469,16.79690777777778,9392.086813744158,608.8528127978077,497.91318625584245,True,4,2382,2382,0.06000260905303084,0.3935120792528306,True,7,True,0.7681820392608643,0.022360820323228836,2130.037353515625,7.612768627240232e-08,3.6335434571629876e-09,20.951362539046553,25.49163574577603,0.3917040526866913,0.01435462110042572,0.8790179492469569,0.8790179492469569,7.059087035928463e-08,2.9396725539613924e-09,24.013174618431236,25.573620980735246,0.3909571170806885
3321,N3447Spiral,spiral,validation,F150W,163.35086,16.7993,163.3508658032194,16.799277777777778,9810.625221413049,868.0480064219664,79.37477858695092,True,4,0,4067,0.22995865931829576,0.33971754151339917,True,13,False,0.4742509126663208,0.01822044514119625,2138.3359375,6.611920839364317e-08,3.528558451258094e-09,18.73830611196723,25.644673208836284,0.3995676636695862,0.013132510310411452,0.0,0.0,5.0586505628304396e-08,2.639762709907419e-09,19.163277607659875,25.935405620734485,0.39975884556770325
3366,N3447Spiral,spiral,development,F150W,163.34379,16.79359,163.34379580304483,16.793567777777778,8887.82419087993,431.19938197095826,431.19938197095826,True,4,961,961,0.02921286281402993,0.41481387153337107,True,9,True,1.0236163139343262,0.02555023320019245,2124.07470703125,1.9143982393624954e-07,3.761225585558994e-09,50.8982563213628,24.490411606800308,0.40629467368125916,0.01216682672202587,0.9769179948798414,0.9769179948798414,1.7415862958972937e-07,3.3826767728368565e-09,51.485448148116305,24.593129825550005,0.40627551078796387
